year,rank_display,rank_low,rank_high,is_band,institution,region,total_score
2025,1,1,1,0,Harvard University,United States,100
2025,2,2,2,0,Stanford University,United States,76.8
2025,3,3,3,0,Massachusetts Institute of Technology,United States,71.2
2025,4,4,4,0,University of Cambridge,United Kingdom,68.6
2025,5,5,5,0,"University of California, Berkeley",United States,61.8
2025,6,6,6,0,University of Oxford,United Kingdom,61
2025,7,7,7,0,Princeton University,United States,59.4
2025,8,8,8,0,Columbia University,United States,55.8
2025,9,9,9,0,California Institute of Technology,United States,55.5
2025,10,10,10,0,University of Chicago,United States,54.2
2025,11,11,11,0,Yale University,United States,53.6
2025,12,12,12,0,Cornell University,United States,49.8
2025,13,13,13,0,Paris-Saclay University,France,49.1
2025,14,14,14,0,University College London,United Kingdom,48.5
2025,14,14,14,0,University of Pennsylvania,United States,48.5
2025,16,16,16,0,"University of California, Los Angeles",United States,48
2025,17,17,17,0,University of Washington,United States,46.2
2025,18,18,18,0,Tsinghua University,China,46
2025,19,19,19,0,Johns Hopkins University,United States,45.5
2025,20,20,20,0,"University of California, San Diego",United States,45.3
2025,21,21,21,0,"University of California, San Francisco",United States,44.7
2025,22,22,22,0,ETH Zurich,Switzerland,44.1
2025,23,23,23,0,Peking University,China,42.5
2025,24,24,24,0,Zhejiang University,China,42
2025,25,25,25,0,University of Toronto,Canada,41.5
2025,26,26,26,0,Imperial College London,United Kingdom,40.4
2025,26,26,26,0,Washington University in St Louis,United States,40.4
2025,28,28,28,0,New York University,United States,38.9
2025,29,29,29,0,Rockefeller University,United States,38.7
2025,30,30,30,0,Shanghai Jiao Tong University,China,37.7
2025,31,31,31,0,Northwestern University,United States,37.5
2025,31,31,31,0,The University of Tokyo,Japan,37.5
2025,33,33,33,0,"University of Michigan, Ann Arbor",United States,37.4
2025,34,34,34,0,PSL University,France,37.3
2025,35,35,35,0,University of Copenhagen,Denmark,37.2
2025,36,36,36,0,"University of Wisconsin, Madison",United States,36.4
2025,37,37,37,0,The University of Edinburgh,United Kingdom,35.7
2025,38,38,38,0,The University of Melbourne,Australia,35.5
2025,39,39,39,0,University of North Carolina at Chapel Hill,United States,35
2025,40,40,40,0,University of Science and Technology of China,China,34.9
2025,41,41,41,0,Fudan University,China,34.5
2025,42,42,42,0,University of Munich,Germany,34.4
2025,43,43,43,0,Sorbonne University,France,34.3
2025,44,44,44,0,Swiss Federal Institute of Technology Lausanne,Switzerland,34.1
2025,45,45,45,0,Technical University of Munich,Germany,33.7
2025,46,46,46,0,Duke University,United States,33.6
2025,46,46,46,0,Kyoto University,Japan,33.6
2025,46,46,46,0,The University of Manchester,United Kingdom,33.6
2025,49,49,49,0,The University of Texas at Austin,United States,33.4
2025,50,50,50,0,Karolinska Institute,Sweden,32.9
2025,51,51,51,0,Heidelberg University,Germany,32.7
2025,51,51,51,0,"University of Minnesota, Twin Cities",United States,32.7
2025,53,53,53,0,University of British Columbia,Canada,32.3
2025,53,53,53,0,"University of Illinois Urbana, Champaign",United States,32.3
2025,55,55,55,0,"University of Maryland, College Park",United States,32.2
2025,56,56,56,0,National University of Singapore,Singapore,32.1
2025,56,56,56,0,Utrecht University,Netherlands,32.1
2025,58,58,58,0,University of Geneva,Switzerland,31.9
2025,58,58,58,0,University of Texas Southwestern Medical Center,United States,31.9
2025,60,60,60,0,Université Paris Cité,France,31.8
2025,61,61,61,0,King's College London,United Kingdom,31.7
2025,62,62,62,0,University of Colorado Boulder,United States,30.9
2025,62,62,62,0,Vanderbilt University,United States,30.9
2025,64,64,64,0,University of Zurich,Switzerland,30.8
2025,65,65,65,0,Sun Yat-sen University,China,30.6
2025,65,65,65,0,The University of Queensland,Australia,30.6
2025,67,67,67,0,The University of Hong Kong,China-Hong Kong,30.5
2025,68,68,68,0,University of Bonn,Germany,30.1
2025,68,68,68,0,University of Southern California,United States,30.1
2025,70,70,70,0,"University of California, Santa Barbara",United States,30
2025,71,71,71,0,Weizmann Institute of Science,Israel,29.7
