year,rank_display,rank_low,rank_high,is_band,institution,region,total_score
2023,1,1,1,0,Harvard University,United States,100
2023,2,2,2,0,Stanford University,United States,74.8
2023,3,3,3,0,Massachusetts Institute of Technology (MIT),United States,69.1
2023,4,4,4,0,University of Cambridge,United Kingdom,67.9
2023,5,5,5,0,"University of California, Berkeley",United States,63.4
2023,6,6,6,0,Princeton University,United States,60.1
2023,7,7,7,0,University of Oxford,United Kingdom,59.5
2023,8,8,8,0,Columbia University,United States,55.3
2023,9,9,9,0,California Institute of Technology,United States,54.5
2023,10,10,10,0,University of Chicago,United States,53.8
2023,11,11,11,0,Yale University,United States,52.2
2023,12,12,12,0,Cornell University,United States,50.5
2023,13,13,13,0,"University of California, Los Angeles",United States,48
2023,14,14,14,0,University of Pennsylvania,United States,47.7
2023,15,15,15,0,Paris-Saclay University,France,47
2023,16,16,16,0,Johns Hopkins University,United States,46.8
2023,17,17,17,0,University College London,United Kingdom,45.9
2023,18,18,18,0,University of Washington,United States,45.4
2023,19,19,19,0,"University of California, San Diego",United States,44.8
2023,20,20,20,0,ETH Zurich,Switzerland,44.1
2023,21,21,21,0,"University of California, San Francisco",United States,44
2023,22,22,22,0,Tsinghua University,China,40.3
2023,23,23,23,0,Imperial College London,United Kingdom,39.9
2023,24,24,24,0,University of Toronto,Canada,39.7
2023,25,25,25,0,Washington University in St. Louis,United States,39
2023,26,26,26,0,University of Michigan-Ann Arbor,United States,37.8
2023,27,27,27,0,The University of Tokyo,Japan,37.7
2023,28,28,28,0,New York University,United States,37.3
2023,29,29,29,0,Peking University,China,36.7
2023,30,30,30,0,Northwestern University,United States,35.8
2023,31,31,31,0,University of North Carolina at Chapel Hill,United States,35.7
2023,32,32,32,0,University of Copenhagen,Denmark,35.2
2023,33,33,33,0,Zhejiang University,China,35
2023,34,34,34,0,Duke University,United States,34.6
2023,35,35,35,0,The University of Melbourne,Australia,34.5
2023,35,35,35,0,University of Wisconsin - Madison,United States,34.5
2023,37,37,37,0,Karolinska Institute,Sweden,34
2023,38,38,38,0,The University of Edinburgh,United Kingdom,33.9
